cat,dist
0,1.5634929
0,0.0403253
0,1.9247227
0,0.2452214
0,0.3862684
0,1.0084373
0,1.9792955
0,0.4135528
0,0.1874297
0,0.3031516
0,2.092652
0,0.1535958
0,2.6228631
0,0.1535958
0,0.1535958
0,6.1782618
0,0.2438047
0,0.4052466
0,0.0005665
0,0.2215802
0,0.2215802
0,4.9633102
0,1.4058287
0,1.0566453
0,0.3527349
0,0.2196819
0,0.3501904
0,1.2559757
0,1.2203023
0,1.1894844
0,0.5527614
0,0.3950456
0,0.1230882
0,0.1157136
0,0.1230882
0,0.1368232
0,0.1441978
0,0.1230882
0,0.1230882
0,6.360078
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1294485
0,0.1220739
0,0.1159164
0,0.1230882
0,0.1230882
0,0.1230882
0,0.1029928
0,0.1029928
0,0.4340209
0,0.1372289
0,0.1296514
0,0.1222768
0,0.1230882
0,0.3043271
0,6.5626413
0,6.6310664
0,0.6699857
0,0.5805047
0,0.5805047
0,0.6923492
0,0.4964158
0,1.5349072
0,0.1230882
0,6.6154449
0,6.4906017
0,0.2547205
0,0.5140046
0,0.1239166
0,0.1239166
0,0.1239166
0,0.117442
0,2.1676116
0,0.3863432
0,0.9406167
0,0.117442
0,0.1284085
0,0.1284085
0,0.1284085
0,0.117442
0,0.117442
0,0.117442
0,0.117442
0,0.117442
0,0.150935
0,0.1284085
0,0.117442
0,0.7601506
0,4.530182
0,0.117442
0,0.117442
0,0.117442
0,0.117442
0,0.117442
0,0.5999113
0,0.5833643
0,0.3383073
0,0.4178836
0,0.3292005
0,0.0756041
0,0.2572979
0,0.1284085
0,0.6058116
0,0.160874
0,0.1552143
0,0.1530002
0,0.1530002
0,0.2696064
0,0.9588182
0,0.0011552
0,0.1284085
0,4.0359316
0,0.3438799
0,0.0011552
0,1.6213668
0,0.1668371
0,0.0459487
0,6.6358934
0,0.1668371
0,0.1894215
0,0.0011552
0,0.1992635
0,2.0108417
0,1.6064974
0,6.4541653
0,6.4824401
0,6.4820904
0,6.4896951
0,0.0371107
0,6.4896951
0,0.6408887
0,6.4896951
0,6.4896951
0,0.3179168
0,0.8091015
0,0.0011552
0,6.4683027
0,6.4820904
0,6.4896951
0,6.4896951
0,6.4896951
0,0.3391357
0,6.4896951
0,6.4896951
0,6.4896951
0,5.0079192
0,6.4896951
0,6.475558
0,0.2301041
0,6.4824401
0,6.4820904
0,6.461421
0,0.3309239
0,6.4686841
0,1.6212981
0,6.4349295
0,3.2812679
0,0.0011552
0,0.0069291
0,1.9743202
0,6.5588812
0,6.5588812
0,0.0011552
0,0.9535291
0,0.4314571
0,0.0664998
0,2.9611611
0,0.0668622
0,1.6546813
0,2.299196
0,1.2846884
0,1.9844308
0,1.8420731
0,6.4534938
0,6.4751925
0,6.76073
0,1.5560677
0,0.4328492
0,0.4328492
0,0.4424931
0,0.6127131
0,0.2983277
0,0.3658595
0,0.948981
0,0.948981
0,0.2505198
0,0.948981
0,0.948981
0,0.948981
0,0.9406329
0,0.1443383
0,4.1914817
0,0.0316479
0,0.0316479
0,0.7263532
0,6.4035823
0,0.2772553
0,0.5838318
0,0.6184113
0,0.6184113
0,0.0882296
0,1.826015
0,2.6933648
0,0.7528243
0,0.5724015
0,0.234684
0,0.2397136
0,6.3429578
